timestamp,trigger_reason,eda,temp,resp,acc,model_prediction,confidence,activity,feeling_note,user_label
22:36:17,mismatch,9.6817,34.6002,-2.0248,0.9193,0,high,Working,its just normal office work that is  making me stressed,0
22:36:45,mismatch,9.6439,34.654,8.7311,0.9172,0,unknown,Dismissed,,
22:36:47,mismatch,9.6737,34.6447,-6.0852,0.9247,0,unknown,Dismissed,,
22:36:50,mismatch,9.6775,34.5649,-4.2984,0.9141,0,unknown,Dismissed,,
22:36:52,mismatch,9.6638,34.6509,-1.2421,0.9195,0,unknown,Dismissed,,
22:36:54,mismatch,10.2596,34.6324,14.6591,0.9117,0,unknown,Dismissed,,
22:43:48,anomaly,10.6449,34.6079,-12.5839,0.908,0,unknown,Dismissed,,
22:45:25,anomaly,9.8984,34.7646,2.6184,0.916,0,unknown,Dismissed,,
22:45:32,disagreement,9.4875,34.7646,12.6968,0.9115,1,unknown,Dismissed,,
22:45:46,anomaly,9.9491,34.6048,-6.8863,0.9357,0,unknown,Dismissed,,
22:51:46,mismatch,9.7706,34.5833,-0.9262,0.917,0,unknown,Dismissed,,
22:51:49,mismatch,10.0727,34.6447,-8.3267,0.9171,0,unknown,Dismissed,,
22:51:52,mismatch,10.5843,34.634,-9.7214,0.8946,0,unknown,Dismissed,,
22:51:56,mismatch,10.3695,34.6509,9.0561,0.9361,0,unknown,Dismissed,,
16:15:50,anomaly,3.8071,34.6079,2.4307,0.9273,0,unknown,Dismissed,,
16:15:58,mismatch,10.5061,34.8508,-2.5681,0.9167,0,unknown,Dismissed,,
16:16:01,mismatch,9.8454,34.6156,1.004,0.9178,0,unknown,Dismissed,,
16:16:04,mismatch,8.9222,34.6555,-2.1988,0.9171,0,unknown,Dismissed,,
16:22:02,mismatch,10.8112,34.9078,-4.3915,0.9263,0,unknown,Dismissed,,
16:22:05,mismatch,10.4145,34.5113,8.1116,0.9217,0,unknown,Dismissed,,
16:22:07,mismatch,10.4824,34.424,-0.1144,0.9303,0,unknown,Dismissed,,
16:22:10,mismatch,10.1658,34.5266,-1.2253,0.9184,0,unknown,Dismissed,,
16:22:13,mismatch,10.0773,34.5159,0.0534,0.9261,0,unknown,Dismissed,,
16:22:15,mismatch,10.0101,34.5404,0.0473,0.9188,0,unknown,Dismissed,,
16:22:20,mismatch,9.9815,34.568,-1.7273,0.92,0,unknown,Dismissed,,
16:22:30,mismatch,9.8312,35.0699,8.7723,0.9385,0,unknown,Dismissed,,
16:22:33,mismatch,9.016,34.6017,3.27,0.9185,0,unknown,Dismissed,,
16:22:36,mismatch,9.6317,35.1657,-9.1507,0.9006,0,unknown,Dismissed,,
